date,temperature,humidity,luminosity
2020-12-02 16:04:38.572,22.2,16.7,95
2020-12-02 16:04:36.294,22.2,16.7,95
2020-12-02 16:04:34.021,22.2,16.7,95
2020-12-02 16:04:31.743,22.2,16.7,95
2020-12-02 16:04:29.465,22.2,16.7,95
2020-12-02 16:04:27.192,22.2,16.7,95
2020-12-02 16:04:24.914,22.2,16.7,95
2020-12-02 16:04:22.636,22.2,16.7,95
2020-12-02 16:04:20.363,22.2,16.7,95
2020-12-02 16:04:18.085,22.2,16.7,95
2020-12-02 16:04:15.808,22.2,16.7,96
2020-12-02 16:04:13.534,22.2,16.7,95
2020-12-02 16:04:11.256,22.2,16.7,96
2020-12-02 16:04:08.978,22.2,16.7,96
2020-12-02 16:04:06.704,22.2,16.7,96
2020-12-02 16:04:04.427,22.2,16.7,95
2020-12-02 16:04:02.149,22.2,16.8,95
2020-12-02 16:03:59.875,22.2,16.8,95
2020-12-02 16:03:57.598,22.2,16.8,95
2020-12-02 16:03:55.324,22.2,16.8,95
2020-12-02 16:03:53.046,22.2,16.9,95
2020-12-02 16:03:50.769,22.2,16.9,95
2020-12-02 16:03:48.495,22.2,17.0,96
2020-12-02 16:03:46.218,22.2,17.0,95
2020-12-02 16:03:43.940,22.2,17.1,95
2020-12-02 16:03:41.666,22.2,17.1,95
2020-12-02 16:03:39.389,22.2,17.1,94
2020-12-02 16:03:37.111,22.2,17.1,95
2020-12-02 16:03:34.837,22.2,17.2,96
2020-12-02 16:03:32.560,22.2,17.2,95
2020-12-02 16:03:30.282,22.2,17.2,95
2020-12-02 16:03:28.009,22.2,17.2,96
2020-12-02 16:03:25.731,22.2,17.3,95
2020-12-02 16:03:23.453,22.2,17.3,96
2020-12-02 16:03:21.180,22.2,17.3,96
2020-12-02 16:03:18.902,22.2,17.3,96
2020-12-02 16:03:16.624,22.2,17.3,96
2020-12-02 16:03:14.351,22.2,17.3,95
2020-12-02 16:03:12.073,22.2,17.3,94
2020-12-02 16:03:09.795,22.2,17.3,96
2020-12-02 16:03:07.522,22.2,17.3,95
2020-12-02 16:03:05.245,22.2,17.3,96
2020-12-02 16:03:02.967,22.2,17.2,95
2020-12-02 16:03:00.694,22.2,17.2,94
2020-12-02 16:02:58.416,22.2,17.2,96
2020-12-02 16:02:56.138,22.2,17.1,95
2020-12-02 16:02:53.865,22.2,17.0,94
2020-12-02 16:02:51.587,22.2,16.9,96
2020-12-02 16:02:49.309,22.1,16.8,96
2020-12-02 16:02:47.036,22.1,16.8,95
2020-12-02 16:02:44.758,22.2,16.8,95
2020-12-02 16:02:42.480,22.1,16.7,95
2020-12-02 16:02:40.207,22.2,16.7,96
2020-12-02 16:02:37.929,22.2,16.7,95
2020-12-02 16:02:35.651,22.1,16.6,95
2020-12-02 16:02:33.378,22.1,16.6,95
2020-12-02 16:02:31.100,22.1,16.6,95
2020-12-02 16:02:28.823,22.1,16.5,95
2020-12-02 16:02:26.549,22.2,16.6,96
2020-12-02 16:02:24.271,22.2,16.6,93
2020-12-02 16:02:21.994,22.2,16.6,96
2020-12-02 16:02:19.720,22.2,16.6,95
2020-12-02 16:02:17.442,22.1,16.5,95
2020-12-02 16:02:15.169,22.1,16.4,96
2020-12-02 16:02:12.891,22.2,16.5,96
2020-12-02 16:02:10.614,22.1,16.4,95
2020-12-02 16:02:08.340,22.1,16.4,94
2020-12-02 16:02:06.062,22.2,16.5,96
2020-12-02 16:02:03.784,22.2,16.5,98
2020-12-02 16:02:01.511,22.1,16.4,95
2020-12-02 16:01:59.233,22.1,16.4,95
2020-12-02 16:01:56.955,22.1,16.4,95
2020-12-02 16:01:54.682,22.1,16.5,95
2020-12-02 16:01:52.404,22.2,16.5,97
2020-12-02 16:01:50.126,22.1,16.5,95
2020-12-02 16:01:47.853,22.1,16.5,96
2020-12-02 16:01:45.575,22.2,16.6,95
2020-12-02 16:01:43.302,22.2,16.6,96
2020-12-02 16:01:41.024,22.2,16.6,96
2020-12-02 16:01:38.746,22.2,16.6,95
2020-12-02 16:01:36.473,22.2,16.6,95
2020-12-02 16:01:34.195,22.2,16.6,96
2020-12-02 16:01:31.917,22.2,16.7,95
2020-12-02 16:01:29.644,22.2,16.7,95
2020-12-02 16:01:27.366,22.2,16.7,95
2020-12-02 16:01:25.089,22.2,16.8,95
2020-12-02 16:01:22.815,22.2,16.8,95
2020-12-02 16:01:20.537,22.2,16.9,96
2020-12-02 16:01:18.260,22.2,16.9,96
2020-12-02 16:01:15.986,22.2,16.9,96
2020-12-02 16:01:13.708,22.2,16.9,96
2020-12-02 16:01:11.431,22.2,16.9,96
2020-12-02 16:01:09.157,22.2,16.9,96
2020-12-02 16:01:06.879,22.1,16.9,95
2020-12-02 16:01:04.602,22.1,16.9,95
2020-12-02 16:01:02.328,22.1,16.9,95
2020-12-02 16:01:00.051,22.1,16.9,96
2020-12-02 16:00:57.773,22.1,17.0,96
2020-12-02 16:00:55.499,22.1,16.9,94
2020-12-02 16:00:53.222,22.1,16.9,96
2020-12-02 16:00:50.944,22.1,16.8,96
2020-12-02 16:00:48.670,22.1,16.8,96
2020-12-02 16:00:46.393,22.1,16.8,96
2020-12-02 16:00:44.119,22.1,16.8,96
